,Title,Author/Info
0,"Hard Magic,",Larry Correia
1,"A Fire Upon the Deep,",Vernor Vinge
2,Speaker for the Dead,Orson Scott Card
3,"Farenheit 451,",Ray Bradbury
4,Terrorists in Love: The Real Stories of Islamic Radicals,Ken Ballen
5,Alloy of Law,"Our stuff!  by Brandon Sanderson, Shades of Milk and Honey by Mary Robinette Kowal, (and lots of things narrated by Mary), and Dan Wells’ John Cleaver trilogy."
6,"His Majesty’s Dragon: Temeraire, Book 1",Naomi Novik
7,"The Terror,",Dan Simmons
8,One Salt Sea,Seanan McGuire
9,"Startide Rising,",David Brin
10,Persuasion,", by Jane Austen. Note that there are lots of available recordings. We recommend something unabridged, like the version linked here."
11,"Acacia,",David Anthony Durham
12,"Dragonflight,",Anne McCaffrey
13,"Cognitive Behavioral Therapy for Dummies,",Rob Wilson and Rhena Branch
14,Glamour in Glass,", by Mary Robinette Kowal, releases this week! We’ve put links to it over here on our brand new Book of the Week page!"
15,"Under Heaven, ",Guy Gavriel Kay
16,"Spellbound: Book II of the Grimnoir Chronicles,",Larry Corriea
17,"Here, There Be Dragons",James A. Owen
18,"Everneath,",Brody Ashton
19,The Slab,Michael R. Collings
20,"Going Postal,",Terry Pratchett
21,The Sweetness at the Bottom of the Pie,", by Alan Bradley"
22,The Time Traveler’s Wife,Audrey Niffenegger
23,Stranger in a Strange Land,Robert A. Heinlein
24,The Great Train Robbery,Michael Crichton
25,"Partials,",Dan Wells
26,Sharpe’s Rifles,Bernard Cornwell
27,The Hollow City,", by Dan Wells, which, as of this writing, doesn’t show up on Audible’s site. We counsel patience."
28,"Imager,",L.E. Modesitt Jr
29,Howl’s Moving Castle,Diana Wynne Jones
30,Sucks to be Me,Kimberly Pauley
31,Helliconia Spring,Brian Aldiss
32,All Men of Genius,Lev AC Rosen
33,Blackout,"The Newsflesh trilogy by Mira Grant, wraps up with , and is a very satisfying example of a series that does something different with each book."
34,The Amazing Adventures of Kavalier and Clay,Michael Chabon
35,Redshirts: A Novel with Three Codas,John Scalzi
36,Existence,David Brin
37,One Long Hot Summer. ,"Shanna plugged “One Hot Summer,” but the actual title is It is not currently available Audible, but it’s available on Amazon at the link above. There are lots of OTHER things on Audible for you to listen to, including four titles featuring Shanna Germain."
38,Grammar Girl’s Quick and Dirty Tips for Better Writing,Mignon Fogarty
39,The House of Discarded Dreams,Ekaterina Sedia
40,Chasing the Skip,", by Janci Patterson. It’s not currently available as of October 14th, but it’s coming real soon."
41,Railsea,China Mieville
42,Swords and Deviltry: The Adventures of Fafhrd and the Grey Mouser,Fritz Lieber
43,Hellhole,", by Kevin J. Anderson and Brian Herbert"
44,Caves of Steel,Isaac Asimov
45,Control Point: Shadow Ops,Myke Cole
46,Foundation,Isaac Asimov
47,The Green Glass Sea,Ellen Klages
48,The Dragon Factory,Jonathan Mayberry
49,The Broken Kingdoms,N.K. Jemisin
50,Who Fears Death,Nnedi Okorafor
51,A Short Stay in Hell,Stephen L. Peck
52,The Last Light of the Sun,Guy Gavriel Kay
53,"A Memory of Light: Wheel of Time, Book 14", Robert Jordan and Brandon Sanderson
54,Hero With a Thousand Faces,"At the time we recorded this,  was available on Audible. It’s not anymore. So… go find something else educational?"
55,Making Money,", by Terry Pratchett narrated by Stephen Briggs"
56,The Three Stigmata of Palmer Eldritch,Philip K. Dick
57,Holes,Louis Sachar
58,Cinder,Marissa Meyer
59,Variant," and Feedback by Robison Wells, both narrated by Michael Goldstrom"
60,Imagine,"Our pick, , by Jonah Lehrer, has been pulled from Audible because the author made some stuff up! So not only can you not believe everything you read, you can’t believe everything you listen to."
61,Feedback,Robison Wells
62,Fragments,Dan Wells
63,Incognito: The Secret Lives of the Brain,", by David Eagleman, who also narrates."
64,The Improbable Adventures of Sherlock Holmes,"John Joseph Adams with stories by Robert J. Sawyer, Christopher Roden, Michael Moorcock, Anne Perry, Neil Gaiman, Anthony Burgess, and Laurie R. King"
65,A History of Warfare,John Keegan
66,Dragonsinger: Harper Hall Trilogy Volume 2,Anne McCaffrey
67,"The Book of Three: The Prydain Chronicles, Volume 1",", by Lloyd Alexander"
68,A Wizard of Earthsea,Ursula K. LeGuin
69,Monster Hunter Alpha,Larry Correia
70,"White Sands, Red Menace",Ellen Klages
71,The Language of Moths,Christopher Barzak
72,The Amazing Adventures of Kavalier and Clay,Michael Chabon
73,isn’t,"E.J. Patten’s books aren’t available on Audible, but if you’re looking for Cthulhu that  for kids, H.P. Lovecraft’s classics “Call of Cthulhu” and “Reanimator” can be found in H.P. Lovecraft, Volume 2, narrated by Garrick Hogan."
74,Red Storm Rising,Tom Clancy
75,Empire State,Adam Christopher
76,The Red Pyramid,Rick Riordan
77,The Warrior’s Apprentice,Lois McMaster Bujold
78,Promise of Blood,Brian McClellan
79,Without a Summer,Mary Robinette Kowal
80,The Human Division,John Scalzi
81,Celebromancy,Michael R. Underwood
82,Bloody Jack,L.A. Meyer
83,The Madman’s Daughter,Megan Shepherd
84,Thief of Time,Terry Pratchett
85,Blood: A Southern Fantasy,"We plugged Michael Moorcock’s Elric series for you, but those are no longer available on Audible. You might consider Moorcock’s  instead."
86,The Player of Games,Iain M. Banks
87,The Rithmatist,Brandon Sanderson
88,The Blinding Knife,Brent Weeks
89,Troubletwisters,Garth Nix and Sean Williams
90,Dreadnought,Cherie Priest
91,Legion,Brandon Sanderson
92,Anna Dressed in Blood,Kendare Blake
93,The Mad Scientist’s Guide to World Domination,John Joseph Adams
94,"The Lives of Tao, ",Wesley Chu
95,Ender’s Game,Orson Scott Card
96,Chimes at Midnight,Seanan McGuire
97,The Blade Itself: The First Law: Book One,Joe Abercrombie
98,The Lies of Locke Lamora,Scott Lynch
99,Feed,M. T. Anderson
100,Crossover: Cassandra Kresnov Book 1,Joel Sheperd
101,Bastion: Collegium Chronicles Book 5,Mercedes Lackey
102,Steelheart,Brandon Sanderson
103,Metatropolis: Green Space,", in which Mary has a story. Lots of writers, lots of narrators. Go have a look!"
104,Ender’s World: Fresh Perspectives on the SF Classic Ender’s Game,", a collection of essays by numerous writers, and narrated by lots of narrators. Both Eric and Mary wrote for this collection. (Note: it’s currently not appearing on Audible’s site, but Amazon shows it as being available through Audible. Weirdness!)"
105,Bowl of Heaven,Gregory Benford and Larry Niven
106,Movement,Nancy Fulda
107,Rainbows End,Vernor Vinge
108,Dangerous Women,"George RR Martin, Gardner Dozois and several others (including Brandon Sanderson)"
109,Déjà Dead,Kathy Reichs
110,"Before They Are Hanged,",Joe Abercrombie
111,The Incrementalists,Stephen Brust and Skyler White
112,Chimes at Midnight: An October Daye Novel,Seanan McGuire
113,Star Wars: Heir to the Empire,Timothy Zahn
114,"Ghost in the Wires: My Adventures as the World’s Most Wanted Hacker, ",Kevin Mitnick and William L. Simon
115,Between Two Thorns: The Split Worlds Series Book 1,Emma Newman
