Hard Magic,Larry Correia
A Fire Upon the Deep,Vernor Vinge
Speaker for the Dead,Orson Scott Card
Farenheit 451,Ray Bradbury
Terrorists in Love: The Real Stories of Islamic Radicals,Ken Ballen
Alloy of Law,"Brandon Sanderson, Shades of Milk and Honey by Mary Robinette Kowal, (and lots of things narrated by Mary), and Dan Wells’ John Cleaver trilogy."
"His Majesty’s Dragon: Temeraire, Book 1",Naomi Novik
The Terror,Dan Simmons
One Salt Sea,Seanan McGuire
Startide Rising,David Brin
Persuasion,"Jane Austen. Note that there are lots of available recordings. We recommend something unabridged, like the version linked here."
Acacia,David Anthony Durham
Dragonflight,Anne McCaffrey
Cognitive Behavioral Therapy for Dummies,Rob Wilson and Rhena Branch
Glamour in Glass,"Mary Robinette Kowal, releases this week! We’ve put links to it over here on our brand new Book of the Week page!"
"Under Heaven, ",Guy Gavriel Kay
Spellbound: Book II of the Grimnoir Chronicles,Larry Corriea
"Here, There Be Dragons",James A. Owen
Everneath,Brody Ashton
The Slab,Michael R. Collings
Going Postal,Terry Pratchett
The Sweetness at the Bottom of the Pie,Alan Bradley
The Time Traveler’s Wife,Audrey Niffenegger
Stranger in a Strange Land,Robert A. Heinlein
The Great Train Robbery,Michael Crichton
Partials,Dan Wells
Sharpe’s Rifles,Bernard Cornwell
The Hollow City,"Dan Wells, which, as of this writing, doesn’t show up on Audible’s site. We counsel patience."
Imager,L.E. Modesitt Jr
Howl’s Moving Castle,Diana Wynne Jones
Sucks to be Me,Kimberly Pauley
Helliconia Spring,Brian Aldiss
All Men of Genius,Lev AC Rosen
Blackout,"Mira Grant, wraps up with , and is a very satisfying example of a series that does something different with each book."
The Amazing Adventures of Kavalier and Clay,Michael Chabon
Redshirts: A Novel with Three Codas,John Scalzi
Existence,David Brin
One Long Hot Summer. ,"Shanna plugged “One Hot Summer,” but the actual title is It is not currently available Audible, but it’s available on Amazon at the link above. There are lots of OTHER things on Audible for you to listen to, including four titles featuring Shanna Germain."
Grammar Girl’s Quick and Dirty Tips for Better Writing,Mignon Fogarty
The House of Discarded Dreams,Ekaterina Sedia
Chasing the Skip,"Janci Patterson. It’s not currently available as of October 14th, but it’s coming real soon."
Railsea,China Mieville
Swords and Deviltry: The Adventures of Fafhrd and the Grey Mouser,Fritz Lieber
Hellhole,Kevin J. Anderson and Brian Herbert
Caves of Steel,Isaac Asimov
Control Point: Shadow Ops,Myke Cole
Foundation,Isaac Asimov
The Green Glass Sea,Ellen Klages
The Dragon Factory,Jonathan Mayberry
The Broken Kingdoms,N.K. Jemisin
Who Fears Death,Nnedi Okorafor
A Short Stay in Hell,Stephen L. Peck
The Last Light of the Sun,Guy Gavriel Kay
"A Memory of Light: Wheel of Time, Book 14", Robert Jordan and Brandon Sanderson
Hero With a Thousand Faces,"At the time we recorded this,  was available on Audible. It’s not anymore. So… go find something else educational?"
Making Money,Terry Pratchett narrated by Stephen Briggs
The Three Stigmata of Palmer Eldritch,Philip K. Dick
Holes,Louis Sachar
Cinder,Marissa Meyer
Variant,"Robison Wells, both narrated by Michael Goldstrom"
Imagine,"Jonah Lehrer, has been pulled from Audible because the author made some stuff up! So not only can you not believe everything you read, you can’t believe everything you listen to."
Feedback,Robison Wells
Fragments,Dan Wells
Incognito: The Secret Lives of the Brain,"David Eagleman, who also narrates."
The Improbable Adventures of Sherlock Holmes,"Robert J. Sawyer, Christopher Roden, Michael Moorcock, Anne Perry, Neil Gaiman, Anthony Burgess, and Laurie R. King"
A History of Warfare,John Keegan
Dragonsinger: Harper Hall Trilogy Volume 2,Anne McCaffrey
"The Book of Three: The Prydain Chronicles, Volume 1",Lloyd Alexander
A Wizard of Earthsea,Ursula K. LeGuin
Monster Hunter Alpha,Larry Correia
"White Sands, Red Menace",Ellen Klages
The Language of Moths,Christopher Barzak
isn’t,Garrick Hogan.
Red Storm Rising,Tom Clancy
Empire State,Adam Christopher
The Red Pyramid,Rick Riordan
The Warrior’s Apprentice,Lois McMaster Bujold
Promise of Blood,Brian McClellan
Without a Summer,Mary Robinette Kowal
The Human Division,John Scalzi
Celebromancy,Michael R. Underwood
Bloody Jack,L.A. Meyer
The Madman’s Daughter,Megan Shepherd
Thief of Time,Terry Pratchett
Blood: A Southern Fantasy,"We plugged Michael Moorcock’s Elric series for you, but those are no longer available on Audible. You might consider Moorcock’s  instead."
The Player of Games,Iain M. Banks
The Rithmatist,Brandon Sanderson
The Blinding Knife,Brent Weeks
Troubletwisters,Garth Nix and Sean Williams
Dreadnought,Cherie Priest
Legion,Brandon Sanderson
Anna Dressed in Blood,Kendare Blake
The Mad Scientist’s Guide to World Domination,John Joseph Adams
"The Lives of Tao, ",Wesley Chu
Ender’s Game,Orson Scott Card
Chimes at Midnight,Seanan McGuire
The Blade Itself: The First Law: Book One,Joe Abercrombie
The Lies of Locke Lamora,Scott Lynch
Feed,M. T. Anderson
Crossover: Cassandra Kresnov Book 1,Joel Sheperd
Bastion: Collegium Chronicles Book 5,Mercedes Lackey
Steelheart,Brandon Sanderson
Metatropolis: Green Space,", in which Mary has a story. Lots of writers, lots of narrators. Go have a look!"
Ender’s World: Fresh Perspectives on the SF Classic Ender’s Game,"numerous writers, and narrated by lots of narrators. Both Eric and Mary wrote for this collection. (Note: it’s currently not appearing on Audible’s site, but Amazon shows it as being available through Audible. Weirdness!)"
Bowl of Heaven,Gregory Benford and Larry Niven
Movement,Nancy Fulda
Rainbows End,Vernor Vinge
Dangerous Women,"George RR Martin, Gardner Dozois and several others (including Brandon Sanderson)"
Déjà Dead,Kathy Reichs
Before They Are Hanged,Joe Abercrombie
The Incrementalists,Stephen Brust and Skyler White
Chimes at Midnight: An October Daye Novel,Seanan McGuire
Star Wars: Heir to the Empire,Timothy Zahn
"Ghost in the Wires: My Adventures as the World’s Most Wanted Hacker, ",Kevin Mitnick and William L. Simon
Between Two Thorns: The Split Worlds Series Book 1,Emma Newman
"The Killing Moon: Dreamblood, Book 1",N.K. Jemisin
Shambling Guide to New York City,"Mur Lafferty, and narrated by Mur, too."
"Vortex: Insignia, Book 2",S.J. Kincaid
The Gift of Fear: And Other Survival Signals That Protect Us From Violence,Gavin de Becker
The Martian,Andy Weir
Valour and Vanity,"Mary Robinette Kowal, and narrated by Mary, too!"
